type,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
boundary,0,0,400000,0,400000,150000,0,150000,0,0
conduit,6500,3300,35,0,0,0,0,0,0,0
conduit,6500,4000,50,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,32107,22807,35,0,0,0,0,0,0,0
conduit,37002,23570,35,0,0,0,0,0,0,0
conduit,57107,22807,35,0,0,0,0,0,0,0
conduit,62002,23570,35,0,0,0,0,0,0,0
conduit,42678,31554,35,0,0,0,0,0,0,0
conduit,67678,31554,35,0,0,0,0,0,0,0
conduit,26863,25038,35,0,0,0,0,0,0,0
conduit,40723,26564,35,0,0,0,0,0,0,0
conduit,33041,28384,35,0,0,0,0,0,0,0
conduit,23748,28737,35,0,0,0,0,0,0,0
conduit,37143,31958,35,0,0,0,0,0,0,0
conduit,34153,29734,35,0,0,0,0,0,0,0
conduit,32499,32500,250,0,0,0,0,0,0,0
conduit,23491,33315,35,0,0,0,0,0,0,0
conduit,32761,36016,35,0,0,0,0,0,0,0
conduit,40531,37454,35,0,0,0,0,0,0,0
conduit,24818,37719,35,0,0,0,0,0,0,0
conduit,37238,40304,35,0,0,0,0,0,0,0
conduit,28485,40888,35,0,0,0,0,0,0,0
conduit,32956,41597,35,0,0,0,0,0,0,0
conduit,66432,28334,35,0,0,0,0,0,0,0
conduit,65723,26564,35,0,0,0,0,0,0,0
conduit,63086,34512,35,0,0,0,0,0,0,0
conduit,62733,25219,35,0,0,0,0,0,0,0
conduit,59512,38614,35,0,0,0,0,0,0,0
conduit,59153,29734,35,0,0,0,0,0,0,0
conduit,57499,32500,250,0,0,0,0,0,0,0
conduit,58155,24962,35,0,0,0,0,0,0,0
conduit,55454,34232,35,0,0,0,0,0,0,0
conduit,54016,42002,35,0,0,0,0,0,0,0
conduit,53751,26289,35,0,0,0,0,0,0,0
conduit,51166,38709,35,0,0,0,0,0,0,0
conduit,50582,29956,35,0,0,0,0,0,0,0
conduit,49873,34427,35,0,0,0,0,0,0,0
boundary,0,0,1000000,0,1000000,1000000,0,1000000,0,0
conduit,48100,22700,254,0,0,0,0,0,0,0
boundary,0,0,300000,0,300000,1000000,0,1000000,0,0
conduit,28400,35400,508,0,0,0,0,0,0,0
boundary,0,0,1000000,0,1000000,1000000,0,1000000,0,0
conduit,22700,22700,254,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,23200,1977500,35,0,0,0,0,0,0,0
conduit,22500,1977500,50,0,0,0,0,0,0,0
boundary,0,0,200000,0,200000,200000,0,200000,0,0
conduit,3800,4500,35,0,0,0,0,0,0,0
conduit,4500,4500,50,0,0,0,0,0,0,0
